Subject,Kind,Namespace,Role,Verbs,Resources,Scope,RiskLevel,Reason
daemon-set-controller,ServiceAccount,kube-system,system:controller:daemon-set-controller,update,daemonsets/finalizers,Cluster,LOW,No known high-risk permissions
daemon-set-controller,ServiceAccount,kube-system,system:controller:daemon-set-controller,update,daemonsets/status,Cluster,LOW,No known high-risk permissions
daemon-set-controller,ServiceAccount,kube-system,system:controller:daemon-set-controller,get list watch,daemonsets,Cluster,LOW,No known high-risk permissions
cronjob-controller,ServiceAccount,kube-system,system:controller:cronjob-controller,create patch update,events,Cluster,LOW,No known high-risk permissions
cronjob-controller,ServiceAccount,kube-system,system:controller:cronjob-controller,delete list,pods,Cluster,LOW,No known high-risk permissions
cronjob-controller,ServiceAccount,kube-system,system:controller:cronjob-controller,update,cronjobs/finalizers,Cluster,LOW,No known high-risk permissions
cronjob-controller,ServiceAccount,kube-system,system:controller:cronjob-controller,update,cronjobs/status,Cluster,LOW,No known high-risk permissions
system:kube-controller-manager,User,,system::leader-locking-kube-controller-manager,watch,configmaps,Namespaced,LOW,No known high-risk permissions
cronjob-controller,ServiceAccount,kube-system,system:controller:cronjob-controller,create delete get list patch update watch,jobs,Cluster,LOW,No known high-risk permissions
kube-controller-manager,ServiceAccount,kube-system,system::leader-locking-kube-controller-manager,watch,configmaps,Namespaced,LOW,No known high-risk permissions
cronjob-controller,ServiceAccount,kube-system,system:controller:cronjob-controller,get list update watch,cronjobs,Cluster,LOW,No known high-risk permissions
system:kube-scheduler,User,,system::leader-locking-kube-scheduler,watch,configmaps,Namespaced,LOW,No known high-risk permissions
certificate-controller,ServiceAccount,kube-system,system:controller:certificate-controller,delete get list watch,certificatesigningrequests,Cluster,LOW,No known high-risk permissions
root-ca-cert-publisher,ServiceAccount,kube-system,system:controller:root-ca-cert-publisher,create update,configmaps,Cluster,LOW,No known high-risk permissions
certificate-controller,ServiceAccount,kube-system,system:controller:certificate-controller,create patch update,events,Cluster,LOW,No known high-risk permissions
replicaset-controller,ServiceAccount,kube-system,system:controller:replicaset-controller,update,replicasets/status,Cluster,LOW,No known high-risk permissions
certificate-controller,ServiceAccount,kube-system,system:controller:certificate-controller,sign,signers,Cluster,LOW,No known high-risk permissions
certificate-controller,ServiceAccount,kube-system,system:controller:certificate-controller,approve,signers,Cluster,LOW,No known high-risk permissions
token-cleaner,ServiceAccount,kube-system,system:controller:token-cleaner,create patch update,events,Namespaced,LOW,No known high-risk permissions
